Q1. In which country do you live? Select one.  (FBCountry),,
Algeria,50,1.00%
Angola,50,1.00%
Argentina,50,1.00%
Australia,50,1.00%
Austria,50,1.00%
Bahrain,50,1.00%
Bangladesh,50,1.00%
Belgium,50,1.00%
Benin,50,1.00%
Botswana,51,1.00%
Brazil,50,1.00%
Bulgaria,50,1.00%
Burkina Faso,50,1.00%
Cambodia,50,1.00%
Cameroon,50,1.00%
Canada,50,1.00%
Chile,50,1.00%
China,50,1.00%
Colombia,50,1.00%
Congo (DRC),50,1.00%
Côte d’Ivoire,50,1.00%
Cuba,50,1.00%
Denmark,50,1.00%
Dominican Republic,50,1.00%
Egypt,50,1.00%
El Salvador,50,1.00%
Estonia,50,1.00%
Ethiopia,50,1.00%
France,50,1.00%
Gabon,50,1.00%
Germany,50,1.00%
Ghana,50,1.00%
Greece,50,1.00%
Guatemala,50,1.00%
Honduras,50,1.00%
Hungary,52,1.00%
India,51,1.00%
Indonesia,50,1.00%
Ireland,50,1.00%
Italy,51,1.00%
Jamaica,50,1.00%
Japan,50,1.00%
Jordan,50,1.00%
Kazakhstan,50,1.00%
Kenya,50,1.00%
South Korea,51,1.00%
Kuwait,50,1.00%
Lebanon,50,1.00%
Liberia,50,1.00%
Lithuania,50,1.00%
Madagascar,50,1.00%
Malawi,50,1.00%
Malaysia,50,1.00%
Mali,50,1.00%
Mexico,50,1.00%
Mongolia,50,1.00%
Morocco,50,1.00%
Mozambique,51,1.00%
Myanmar,50,1.00%
Namibia,51,1.00%
Netherlands,50,1.00%
New Zealand,50,1.00%
Nigeria,51,1.00%
Oman,50,1.00%
Pakistan,50,1.00%
Panama,50,1.00%
Paraguay,50,1.00%
Peru,50,1.00%
Philippines,50,1.00%
Poland,50,1.00%
Portugal,50,1.00%
Qatar,50,1.00%
Romania,50,1.00%
Russia,50,1.00%
Rwanda,50,1.00%
Saudi Arabia,50,1.00%
Senegal,50,1.00%
Singapore,50,1.00%
South Africa,50,1.00%
Spain,50,1.00%
Sri Lanka,50,1.00%
Sudan,50,1.00%
Sweden,50,1.00%
Switzerland,50,1.00%
Taiwan,50,1.00%
Tanzania,50,1.00%
Thailand,50,1.00%
Trinidad and Tobago,50,1.00%
Tunisia,50,1.00%
Turkey,50,1.00%
Uganda,50,1.00%
United Arab Emirates,51,1.00%
United Kingdom,50,1.00%
United States,50,1.00%
Uzbekistan,50,1.00%
Vietnam,50,1.00%
Zambia,50,1.00%
Zimbabwe,50,1.00%
Total,4910,100.00%
,,
Q1. In which country do you live? Select one. [EMBEDDED TAG: MACRO REGIONS] (Q1HID_MACRO),,
North America,100,2.00%
LatAm,750,15.00%
Europe,1103,22.00%
Asia,1052,21.00%
MENA,601,12.00%
SSA,1304,27.00%
Total,4910,100.00%
,,
Q1. In which country do you live? Select one. [EMBEDDED TAG: INCOME GROUP] (Q1HID_Income),,
High Income,1705,35.00%
Low Income,551,11.00%
Lower middle income,1402,29.00%
Upper middle income,1252,25.00%
Total,4910,100.00%
,,
Q1. In which country do you live? Select one. [EMBEDDED TAG: WBREGION] (Q1HID_WBREGION),,
East Asia & Pacific,751,15.00%
Europe & Central Asia,1203,25.00%
Latin America & Caribbean,750,15.00%
Middle East & North Africa,601,12.00%
North America,100,2.00%
South Asia,201,4.00%
Sub-Saharan Africa,1304,27.00%
Total,4910,100.00%
,,
Q2. In what year were you born? Select one. (Q2),,
2004 or later,0,0.00%
2003,66,1.00%
2002,90,2.00%
2001,105,2.00%
2000,176,4.00%
1999,130,3.00%
1998,118,2.00%
1997,107,2.00%
1996,114,2.00%
1995,114,2.00%
1994,125,3.00%
1993,117,2.00%
1992,119,2.00%
1991,127,3.00%
1990,135,3.00%
1989,83,2.00%
1988,82,2.00%
1987,83,2.00%
1986,77,2.00%
1985,98,2.00%
1984,83,2.00%
1983,81,2.00%
1982,68,1.00%
1981,81,2.00%
1980,171,3.00%
1979,124,3.00%
1978,110,2.00%
1977,99,2.00%
1976,115,2.00%
1975,120,2.00%
1974,96,2.00%
1973,77,2.00%
1972,95,2.00%
1971,90,2.00%
1970,70,1.00%
1969,66,1.00%
1968,52,1.00%
1967,49,1.00%
1966,47,1.00%
1965,32,1.00%
1964,124,3.00%
1963,129,3.00%
1962,109,2.00%
1961,76,2.00%
