"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"Ducks, Geese, Swans (Anatidae)","1","Lesser Whistling Duck","Dendrocygna javanica","Belibis Kecil","栗树鸭","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","2","Cotton Pygmy Goose","Nettapus coromandelianus","Belebas Kapas","棉凫","Yes","A","Vis","CR","","","","","","","","","","","","","","","","","",""
"","3","Garganey","Spatula querquedula","Itik Kening Putih","白眉鸭","Yes","A","Vagr","VU","","","","","","","","","","","","","","","","","",""
"","4","Northern Shoveler","Spatula clypeata","Itik-Sudu Utara","琵嘴鸭","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","5","Gadwall","Mareca strepera","Itik-Bersiul Kelabu","赤膀鸭","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","6","Eurasian Wigeon","Mareca penelope","Itik-Bersiul Kepala Merah","赤颈鸭","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","7","Northern Pintail","Anas acuta","Itik-Runcing Utara","针尾鸭","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","8","Tufted Duck","Aythya fuligula","Itik-Selam Berjambul","凤头潜鸭","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Pheasants & Allies (Phasianidae)","9","Red Junglefowl","Gallus gallus","Ayam-Hutan Biasa","红原鸡","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","10","King Quail","Synoicus chinensis","Pikau Biru Asia","蓝胸鹑","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Nightjars (Caprimulgidae)","11","Malaysian Eared Nightjar","Lyncornis temminckii","Taptibau Melayu","马来毛腿夜鹰","Yes","A","Ex","CR","","","","","","","","","","","","","","","","","",""
"","12","Grey Nightjar","Caprimulgus jotaka","Tukang Kelabu Timur","普通夜鹰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","13","Large-tailed Nightjar","Caprimulgus macrurus","Tukang Biasa","长尾夜鹰","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","14","Savanna Nightjar","Caprimulgus affinis","Tukang Padang","林夜鹰","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Treeswifts (Hemiprocnidae)","15","Grey-rumped Treeswift","Hemiprocne longipennis","Layang-layang Berjambul Pinggul Pudar","灰腰凤头雨燕","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","16","Whiskered Treeswift","Hemiprocne comata","Layang-layang Berjambul Kecil","小须凤头雨燕","Yes","A","Vis/Ex","LC","","","","","","","","","","","","","","","","","",""
"Swifts (Apodidae)","17","Plume-toed Swiftlet","Collocalia affinis","Layang-layang Kecil Biasa","毛趾金丝燕","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","18","Black-nest Swiftlet","Aerodramus maximus","Layang-layang Gua Sarang Hitam","大金丝燕","","A/C","Res/Intr","NT","","","","","","","","","","","","","","","","","",""
"","19","Edible-nest Swiftlet","Aerodramus fuciphagus","Layang-layang Gua Sarang Putih","爪哇金丝燕","","A/C","Res/Intr","LC","","","","","","","","","","","","","","","","","",""
"","20","Silver-rumped Spinetail","Rhaphidura leucopygialis","Layang-layang Ekor-Pendek Melayu","银腰针尾雨燕","Yes","A","Vis/Ex","NE","","","","","","","","","","","","","","","","","",""
"","21","White-throated Needletail","Hirundapus caudacutus","Layang-layang Besar Utara","白喉针尾雨燕","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","22","Silver-backed Needletail","Hirundapus cochinchinensis","Layang-layang Besar Rengkung Pudar","灰喉针尾雨燕","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","23","Brown-backed Needletail","Hirundapus giganteus","Layang-layang Besar Biasa","褐背针尾雨燕","Yes","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","24","Asian Palm Swift","Cypsiurus balasiensis","Layang-layang Palma Asia","棕雨燕","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","25","Common Swift","Apus apus","Layang-layang Sabit Erasia","普通雨燕","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","26","Pacific Swift","Apus pacificus","Layang-layang Sabit Asia Timur","白腰雨燕","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","27","House Swift","Apus nipalensis","Layang-layang Sabit Biasa","小白腰雨燕","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"Cuckoos (Cuculidae)","28","Greater Coucal","Centropus sinensis","Bubut Besar Asia","褐翅鸦鹃","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","29","Lesser Coucal","Centropus bengalensis","Bubut Kecil Asia","小鸦鹃","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","30","Chestnut-bellied Malkoha","Phaenicophaeus sumatranus","Cenuk Perut Coklat","棕腹地鹃","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","31","Chestnut-winged Cuckoo","Clamator coromandus","Sewah Berjambul Sayap Coklat","红翅凤头鹃","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","32","Jacobin Cuckoo","Clamator jacobinus","Sewah Berjambul Hitam-Putih","斑翅凤头鹃","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","33","Asian Koel","Eudynamys scolopaceus","Tahu Asia","噪鹃","","A","Res","LC","","","","","","","","","","","","","","","","","",""
