country,region,year,gini,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,gdp,population
Afghanistan,AFG,2008,29,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,1484,27722282
Afghanistan,AFG,2012,33,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,2075,31161378
Afghanistan,AFG,2017,31,Asia,Southern Asia,South Asia,Non-EU,Non-OECD,Low income,2058,36296108
Albania,ALB,1996,27.01,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,4909,3098699
Albania,ALB,2002,31.74,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,6754,3126183
Albania,ALB,2005,30.6,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,8040,3086810
Albania,ALB,2008,29.98,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,9912,3002683
Albania,ALB,2012,28.96,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,11228,2914091
Albania,ALB,2014,34.6,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,11587,2896307
Albania,ALB,2015,32.75,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,11878,2890524
Albania,ALB,2016,33.74,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,12292,2886427
Albania,ALB,2017,36.8,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,12771,2884169
Albania,ALB,2017,33.06,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,12771,2884169
Albania,ALB,2017,38.57,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,12771,2884169
Albania,ALB,2018,35.4,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13317,2882735
Albania,ALB,2018,37.1,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13317,2882735
Albania,ALB,2018,30.15,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13317,2882735
Albania,ALB,2019,34.3,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13657,2880913
Albania,ALB,2019,35.99,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13657,2880913
Albania,ALB,2019,30.77,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13657,2880913
Albania,ALB,2020,33.2,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,13192,2877800
Algeria,DZA,1988,40.19,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,9031,24443472
Algeria,DZA,1995,35.33,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,7935,28757788
Algeria,DZA,2012,27.62,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,11234,37383900
Andorra,AND,2001,26.46,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,67344
Andorra,AND,2002,26.76,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,70048
Andorra,AND,2003,27.21,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,73180
Andorra,AND,2016,27.96,Europe,Southern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,,77295
Angola,AGO,1995,45,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,4140,13945205
Angola,AGO,2001,51.96,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,4767,16945754
Angola,AGO,2009,55,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,43,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,50,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,38,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,55,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,39,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2009,42.72,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,7643,22514276
Angola,AGO,2019,51.27,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,6670,31825298
Argentina,ARG,1953,40,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,10717,18094290
Argentina,ARG,1953,41.2,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,10717,18094290
Argentina,ARG,1959,44.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,11524,20146306
Argentina,ARG,1959,46.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,11524,20146306
Argentina,ARG,1961,41.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,40.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,50.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,42,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,47.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,43.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,49,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,53.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,42,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1961,43.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,12889,20817270
Argentina,ARG,1963,37.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,11994,21488916
Argentina,ARG,1963,35.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,11994,21488916
Argentina,ARG,1963,38.5,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,11994,21488916
Argentina,ARG,1965,35.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,14008,22159644
Argentina,ARG,1969,37.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15473,23517614
Argentina,ARG,1970,36.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16055,23880564
Argentina,ARG,1970,41.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16055,23880564
Argentina,ARG,1972,35.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16788,24653172
Argentina,ARG,1972,33.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16788,24653172
Argentina,ARG,1974,34.54,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18324,25462304
Argentina,ARG,1974,32.19,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18324,25462304
Argentina,ARG,1974,36,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18324,25462304
Argentina,ARG,1974,34.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18324,25462304
Argentina,ARG,1975,36.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17858,25865776
Argentina,ARG,1980,39.31,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1980,37.61,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1980,41.6,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1980,40.83,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1980,40.5,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1980,40.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18043,27896532
Argentina,ARG,1981,42.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16726,28338514
Argentina,ARG,1986,42.17,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15884,30698964
Argentina,ARG,1986,40.52,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15884,30698964
Argentina,ARG,1986,42.81,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15884,30698964
Argentina,ARG,1987,44.82,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16047,31184410
Argentina,ARG,1987,43.07,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16047,31184410
Argentina,ARG,1987,45.28,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16047,31184410
Argentina,ARG,1988,45.52,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15510,31668940
Argentina,ARG,1988,43.75,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15510,31668940
Argentina,ARG,1989,47.6,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,14337,32148136
Argentina,ARG,1990,50.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,14145,32618648
Argentina,ARG,1990,43.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,14145,32618648
Argentina,ARG,1991,46.52,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15222,33079004
Argentina,ARG,1991,44.17,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15222,33079004
Argentina,ARG,1991,46.76,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15222,33079004
Argentina,ARG,1991,44.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15222,33079004
Argentina,ARG,1992,44.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,42.38,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,45.02,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,42.95,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,48.2,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,45.47,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1992,43.6,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16209,33529320
Argentina,ARG,1993,44.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17312,33970100
Argentina,ARG,1993,42.32,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17312,33970100
Argentina,ARG,1993,44.86,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17312,33970100
Argentina,ARG,1994,45.29,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18092,34402668
Argentina,ARG,1994,43.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18092,34402668
Argentina,ARG,1994,51.5,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18092,34402668
Argentina,ARG,1994,45.92,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18092,34402668
Argentina,ARG,1994,43.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18092,34402668
Argentina,ARG,1995,48.12,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17363,34828168
Argentina,ARG,1995,45.97,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17363,34828168
Argentina,ARG,1995,48.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17363,34828168
Argentina,ARG,1995,46.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17363,34828168
Argentina,ARG,1996,48.56,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18105,35246376
Argentina,ARG,1996,46.26,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18105,35246376
Argentina,ARG,1996,49.52,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18105,35246376
Argentina,ARG,1996,45.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18105,35246376
Argentina,ARG,1996,47.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18105,35246376
Argentina,ARG,1997,48.35,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19348,35657436
Argentina,ARG,1997,46.07,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19348,35657436
Argentina,ARG,1997,53,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19348,35657436
Argentina,ARG,1997,49.11,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19348,35657436
Argentina,ARG,1997,44.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19348,35657436
Argentina,ARG,1998,50.22,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,47.96,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,50.15,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,47.83,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,50.73,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,46.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1998,49.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19866,36063448
Argentina,ARG,1999,49.07,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18981,36467220
