"Country.Name","region","Dyear","values"
"Aruba","ABW","D1990",0
"Aruba","ABW","D1991",0
"Aruba","ABW","D1992",0
"Aruba","ABW","D1993",0
"Aruba","ABW","D1994",0
"Aruba","ABW","D1995",0
"Aruba","ABW","D1996",2.768382663
"Aruba","ABW","D1997",NA
"Aruba","ABW","D1998",NA
"Aruba","ABW","D1999",4.506179098
"Aruba","ABW","D2000",15.44282295
"Aruba","ABW","D2001",17.1
"Aruba","ABW","D2002",18.8
"Aruba","ABW","D2003",20.8
"Aruba","ABW","D2004",23
"Aruba","ABW","D2005",25.4
"Aruba","ABW","D2006",28
"Aruba","ABW","D2007",30.9
"Aruba","ABW","D2008",52
"Aruba","ABW","D2009",58
"Aruba","ABW","D2010",62
"Aruba","ABW","D2011",69
"Aruba","ABW","D2012",74
"Aruba","ABW","D2013",78.9
"Aruba","ABW","D2014",83.78
"Aruba","ABW","D2015",88.66122693
"Aruba","ABW","D2016",93.54245387
"Aruba","ABW","D2017",97.17
"Aruba","ABW","D2018",NA
"Aruba","ABW","D2019",NA
"Aruba","ABW","D2020",NA
"Aruba","ABW","D2021",NA
"Aruba","ABW","D2022",NA
"Africa Eastern and Southern","AFE","D1990",0
"Africa Eastern and Southern","AFE","D1991",0.001732302
"Africa Eastern and Southern","AFE","D1992",0.005040808
"Africa Eastern and Southern","AFE","D1993",0.014629494
"Africa Eastern and Southern","AFE","D1994",0.031709734
"Africa Eastern and Southern","AFE","D1995",0.086496311
"Africa Eastern and Southern","AFE","D1996",0.112752212
"Africa Eastern and Southern","AFE","D1997",0.213192402
"Africa Eastern and Southern","AFE","D1998",0.386772417
"Africa Eastern and Southern","AFE","D1999",0.569512051
"Africa Eastern and Southern","AFE","D2000",0.774217555
"Africa Eastern and Southern","AFE","D2001",0.961552005
"Africa Eastern and Southern","AFE","D2002",1.131629443
"Africa Eastern and Southern","AFE","D2003",1.430398355
"Africa Eastern and Southern","AFE","D2004",1.716046675
"Africa Eastern and Southern","AFE","D2005",1.805523142
"Africa Eastern and Southern","AFE","D2006",2.058101768
"Africa Eastern and Southern","AFE","D2007",2.773273826
"Africa Eastern and Southern","AFE","D2008",2.694149781
"Africa Eastern and Southern","AFE","D2009",3.207416172
"Africa Eastern and Southern","AFE","D2010",5.296973614
"Africa Eastern and Southern","AFE","D2011",6.802750221
"Africa Eastern and Southern","AFE","D2012",8.534750117
"Africa Eastern and Southern","AFE","D2013",10.12694547
"Africa Eastern and Southern","AFE","D2014",12.23771579
"Africa Eastern and Southern","AFE","D2015",14.48584915
"Africa Eastern and Southern","AFE","D2016",15.75332982
"Africa Eastern and Southern","AFE","D2017",17.31098687
"Africa Eastern and Southern","AFE","D2018",20.06302426
"Africa Eastern and Southern","AFE","D2019",22.58959071
"Africa Eastern and Southern","AFE","D2020",24.98840087
"Africa Eastern and Southern","AFE","D2021",27.66065378
"Africa Eastern and Southern","AFE","D2022",NA
"Afghanistan","AFG","D1990",0
"Afghanistan","AFG","D1991",0
"Afghanistan","AFG","D1992",0
"Afghanistan","AFG","D1993",0
"Afghanistan","AFG","D1994",0
"Afghanistan","AFG","D1995",0
"Afghanistan","AFG","D1996",NA
"Afghanistan","AFG","D1997",NA
"Afghanistan","AFG","D1998",NA
"Afghanistan","AFG","D1999",NA
"Afghanistan","AFG","D2000",NA
"Afghanistan","AFG","D2001",0.004722568
"Afghanistan","AFG","D2002",0.004561395
"Afghanistan","AFG","D2003",0.087891253
"Afghanistan","AFG","D2004",0.10580903
"Afghanistan","AFG","D2005",1.224148084
"Afghanistan","AFG","D2006",2.107123645
"Afghanistan","AFG","D2007",1.9
"Afghanistan","AFG","D2008",1.84
"Afghanistan","AFG","D2009",3.55
"Afghanistan","AFG","D2010",4
"Afghanistan","AFG","D2011",5
"Afghanistan","AFG","D2012",5.454545455
"Afghanistan","AFG","D2013",5.9
"Afghanistan","AFG","D2014",7
"Afghanistan","AFG","D2015",8.26
"Afghanistan","AFG","D2016",11
"Afghanistan","AFG","D2017",13.5
"Afghanistan","AFG","D2018",16.8
"Afghanistan","AFG","D2019",17.6
"Afghanistan","AFG","D2020",18.4
"Afghanistan","AFG","D2021",NA
"Afghanistan","AFG","D2022",NA
"Africa Western and Central","AFW","D1990",0
"Africa Western and Central","AFW","D1991",0
"Africa Western and Central","AFW","D1992",0
"Africa Western and Central","AFW","D1993",0
"Africa Western and Central","AFW","D1994",4.37e-06
"Africa Western and Central","AFW","D1995",0.000132938
"Africa Western and Central","AFW","D1996",0.007017888
"Africa Western and Central","AFW","D1997",0.019945459
"Africa Western and Central","AFW","D1998",0.035648334
"Africa Western and Central","AFW","D1999",0.086583273
"Africa Western and Central","AFW","D2000",0.139444899
"Africa Western and Central","AFW","D2001",0.210153124
"Africa Western and Central","AFW","D2002",0.412121735
"Africa Western and Central","AFW","D2003",0.657937929
"Africa Western and Central","AFW","D2004",1.176318257
"Africa Western and Central","AFW","D2005",2.322415814
"Africa Western and Central","AFW","D2006",3.458340893
"Africa Western and Central","AFW","D2007",4.233398858
"Africa Western and Central","AFW","D2008",4.98553995
"Africa Western and Central","AFW","D2009",5.803736218
"Africa Western and Central","AFW","D2010",7.242530152
"Africa Western and Central","AFW","D2011",8.664935956
"Africa Western and Central","AFW","D2012",10.2936545
"Africa Western and Central","AFW","D2013",12.5777558
"Africa Western and Central","AFW","D2014",14.92344071
"Africa Western and Central","AFW","D2015",18.10948504
"Africa Western and Central","AFW","D2016",22.86974961
"Africa Western and Central","AFW","D2017",27.08121938
"Africa Western and Central","AFW","D2018",32.08933702
"Africa Western and Central","AFW","D2019",35.27644793
"Africa Western and Central","AFW","D2020",41.74981907
"Africa Western and Central","AFW","D2021",46.99049731
"Africa Western and Central","AFW","D2022",NA
"Angola","AGO","D1990",0
"Angola","AGO","D1991",0
"Angola","AGO","D1992",0
"Angola","AGO","D1993",0
"Angola","AGO","D1994",0
"Angola","AGO","D1995",0
"Angola","AGO","D1996",0.000775929
"Angola","AGO","D1997",0.005673746
"Angola","AGO","D1998",0.018453724
"Angola","AGO","D1999",0.071964087
"Angola","AGO","D2000",0.105045562
"Angola","AGO","D2001",0.136013867
"Angola","AGO","D2002",0.270376746
"Angola","AGO","D2003",0.370682065
"Angola","AGO","D2004",0.464814618
"Angola","AGO","D2005",1.143366827
"Angola","AGO","D2006",1.5
"Angola","AGO","D2007",1.7
"Angola","AGO","D2008",1.9
"Angola","AGO","D2009",2.3
"Angola","AGO","D2010",2.8
"Angola","AGO","D2011",4.7
"Angola","AGO","D2012",7.7
"Angola","AGO","D2013",13
"Angola","AGO","D2014",21.4
"Angola","AGO","D2015",22
"Angola","AGO","D2016",23.2
"Angola","AGO","D2017",26
"Angola","AGO","D2018",29
"Angola","AGO","D2019",32.12939197
"Angola","AGO","D2020",32.55014678
"Angola","AGO","D2021",32.60230173
"Angola","AGO","D2022",NA
"Albania","ALB","D1990",0
"Albania","ALB","D1991",0
"Albania","ALB","D1992",0
"Albania","ALB","D1993",0
"Albania","ALB","D1994",0
"Albania","ALB","D1995",0.011168695
"Albania","ALB","D1996",0.032196828
"Albania","ALB","D1997",0.048593919
"Albania","ALB","D1998",0.06502737
"Albania","ALB","D1999",0.081437045
"Albania","ALB","D2000",0.114097347
"Albania","ALB","D2001",0.325798377
"Albania","ALB","D2002",0.390081273
"Albania","ALB","D2003",0.971900415
"Albania","ALB","D2004",2.420387798
"Albania","ALB","D2005",6.043890864
"Albania","ALB","D2006",9.609991316
"Albania","ALB","D2007",15.03611541
"Albania","ALB","D2008",23.86
"Albania","ALB","D2009",41.2
"Albania","ALB","D2010",45
"Albania","ALB","D2011",47
"Albania","ALB","D2012",49.4
"Albania","ALB","D2013",51.8
"Albania","ALB","D2014",54.3
"Albania","ALB","D2015",56.9
"Albania","ALB","D2016",59.6
"Albania","ALB","D2017",62.4
"Albania","ALB","D2018",65.4
"Albania","ALB","D2019",68.55039112
"Albania","ALB","D2020",72.23767711
"Albania","ALB","D2021",79.32371752
"Albania","ALB","D2022",82.61368583
"Andorra","AND","D1990",0
"Andorra","AND","D1991",0
"Andorra","AND","D1992",0
"Andorra","AND","D1993",0
"Andorra","AND","D1994",0
"Andorra","AND","D1995",0
"Andorra","AND","D1996",1.526601023
"Andorra","AND","D1997",3.050175385
"Andorra","AND","D1998",6.886209218
"Andorra","AND","D1999",7.635686143
"Andorra","AND","D2000",10.53883561
"Andorra","AND","D2001",NA
"Andorra","AND","D2002",11.26046872
"Andorra","AND","D2003",13.54641288
"Andorra","AND","D2004",26.83795439
"Andorra","AND","D2005",37.60576622
"Andorra","AND","D2006",48.936847
"Andorra","AND","D2007",70.87
"Andorra","AND","D2008",70.04
"Andorra","AND","D2009",78.53
"Andorra","AND","D2010",81
"Andorra","AND","D2011",81
"Andorra","AND","D2012",82.7
"Andorra","AND","D2013",84.4
"Andorra","AND","D2014",86.1
"Andorra","AND","D2015",87.9
"Andorra","AND","D2016",89.7
"Andorra","AND","D2017",91.56746703
"Andorra","AND","D2018",NA
"Andorra","AND","D2019",90.71866533
"Andorra","AND","D2020",93.20564892
"Andorra","AND","D2021",93.89752157
"Andorra","AND","D2022",NA
"Arab World","ARB","D1990",0
"Arab World","ARB","D1991",0
"Arab World","ARB","D1992",0
"Arab World","ARB","D1993",0.000864634
"Arab World","ARB","D1994",0.002877601
"Arab World","ARB","D1995",0.014685669
"Arab World","ARB","D1996",0.040272767
"Arab World","ARB","D1997",0.14194828
"Arab World","ARB","D1998",0.283811604
"Arab World","ARB","D1999",0.644800202
"Arab World","ARB","D2000",1.217056416
"Arab World","ARB","D2001",1.639957054
"Arab World","ARB","D2002",2.797822049
"Arab World","ARB","D2003",3.770378137
"Arab World","ARB","D2004",7.250127318
"Arab World","ARB","D2005",8.614729946
"Arab World","ARB","D2006",11.58934867
"Arab World","ARB","D2007",14.35376904
"Arab World","ARB","D2008",18.55654098
"Arab World","ARB","D2009",21.50849307
"Arab World","ARB","D2010",25.68097262
"Arab World","ARB","D2011",27.5480358
"Arab World","ARB","D2012",30.79548733
"Arab World","ARB","D2013",33.9101317
"Arab World","ARB","D2014",37.65595005
"Arab World","ARB","D2015",41.38161705
"Arab World","ARB","D2016",41.52919557
"Arab World","ARB","D2017",46.66467625
"Arab World","ARB","D2018",53.19819117
"Arab World","ARB","D2019",60.73102916
"Arab World","ARB","D2020",66.44035486
"Arab World","ARB","D2021",76.30907665
"Arab World","ARB","D2022",NA
"United Arab Emirates","ARE","D1990",0
"United Arab Emirates","ARE","D1991",0
"United Arab Emirates","ARE","D1992",0
"United Arab Emirates","ARE","D1993",0
"United Arab Emirates","ARE","D1994",0
"United Arab Emirates","ARE","D1995",0.102939175
"United Arab Emirates","ARE","D1996",0.375393534
"United Arab Emirates","ARE","D1997",3.295592694
"United Arab Emirates","ARE","D1998",6.908302986
"United Arab Emirates","ARE","D1999",14.94269899
"United Arab Emirates","ARE","D2000",23.62530088
"United Arab Emirates","ARE","D2001",26.2717542
"United Arab Emirates","ARE","D2002",28.31648531
"United Arab Emirates","ARE","D2003",29.47795341
"United Arab Emirates","ARE","D2004",30.13129617
"United Arab Emirates","ARE","D2005",40
"United Arab Emirates","ARE","D2006",52
"United Arab Emirates","ARE","D2007",61
"United Arab Emirates","ARE","D2008",63
"United Arab Emirates","ARE","D2009",64
"United Arab Emirates","ARE","D2010",68
"United Arab Emirates","ARE","D2011",78
"United Arab Emirates","ARE","D2012",84.9999915
"United Arab Emirates","ARE","D2013",88
"United Arab Emirates","ARE","D2014",90.4
"United Arab Emirates","ARE","D2015",90.5
"United Arab Emirates","ARE","D2016",90.60000732
"United Arab Emirates","ARE","D2017",94.81992254
"United Arab Emirates","ARE","D2018",98.45000178
"United Arab Emirates","ARE","D2019",99.14999796
"United Arab Emirates","ARE","D2020",100
"United Arab Emirates","ARE","D2021",100
"United Arab Emirates","ARE","D2022",100
"Argentina","ARG","D1990",0
"Argentina","ARG","D1991",0
"Argentina","ARG","D1992",0.002992874
"Argentina","ARG","D1993",0.029527065
"Argentina","ARG","D1994",0.043705951
"Argentina","ARG","D1995",0.086277081
"Argentina","ARG","D1996",0.141954704
"Argentina","ARG","D1997",0.280339882
"Argentina","ARG","D1998",0.83076668
"Argentina","ARG","D1999",3.284481956
"Argentina","ARG","D2000",7.038683086
"Argentina","ARG","D2001",9.780807285
"Argentina","ARG","D2002",10.88212438
"Argentina","ARG","D2003",11.91369655
"Argentina","ARG","D2004",16.03668411
"Argentina","ARG","D2005",17.72058337
"Argentina","ARG","D2006",20.9272021
"Argentina","ARG","D2007",25.94663294
"Argentina","ARG","D2008",28.11262348
"Argentina","ARG","D2009",34
"Argentina","ARG","D2010",45
"Argentina","ARG","D2011",51
"Argentina","ARG","D2012",55.8
"Argentina","ARG","D2013",59.9
"Argentina","ARG","D2014",64.7
"Argentina","ARG","D2015",68.04306411
"Argentina","ARG","D2016",70.96898082
"Argentina","ARG","D2017",74.29490687
"Argentina","ARG","D2018",77.7
"Argentina","ARG","D2019",79.94695203
"Argentina","ARG","D2020",85.51438646
"Argentina","ARG","D2021",87.15070683
"Argentina","ARG","D2022",88.37535691
"Armenia","ARM","D1990",0
"Armenia","ARM","D1991",0
"Armenia","ARM","D1992",0
"Armenia","ARM","D1993",0
"Armenia","ARM","D1994",0.009117014
"Armenia","ARM","D1995",0.052743123
"Armenia","ARM","D1996",0.094572902
"Armenia","ARM","D1997",0.111650935
"Armenia","ARM","D1998",0.128659478
"Armenia","ARM","D1999",0.970737757
"Armenia","ARM","D2000",1.300470022
"Armenia","ARM","D2001",1.631094667
"Armenia","ARM","D2002",1.960405046
"Armenia","ARM","D2003",4.575217225
"Armenia","ARM","D2004",4.899008571
"Armenia","ARM","D2005",5.252983352
"Armenia","ARM","D2006",5.631787777
"Armenia","ARM","D2007",6.021253397
"Armenia","ARM","D2008",6.21
"Armenia","ARM","D2009",15.3
"Armenia","ARM","D2010",25
"Armenia","ARM","D2011",32
"Armenia","ARM","D2012",37.5
"Armenia","ARM","D2013",41.9
"Armenia","ARM","D2014",54.62280586
"Armenia","ARM","D2015",59.10083377
"Armenia","ARM","D2016",64.34602977
"Armenia","ARM","D2017",64.74488433
"Armenia","ARM","D2018",68.24505226
"Armenia","ARM","D2019",66.54394969
"Armenia","ARM","D2020",76.50770055
"Armenia","ARM","D2021",78.61225758
"Armenia","ARM","D2022",NA
"American Samoa","ASM","D1990",0
"American Samoa","ASM","D1991",0
"American Samoa","ASM","D1992",0
"American Samoa","ASM","D1993",0
"American Samoa","ASM","D1994",0
"American Samoa","ASM","D1995",0
"American Samoa","ASM","D1996",NA
