period,region,indicator,values
2022,AUT,desi_1a3,33.28
2022,BEL,desi_1a3,26.34
2022,BGR,desi_1a3,7.82
2022,CYP,desi_1a3,20.95
2022,CZE,desi_1a3,24.06
2022,DEU,desi_1a3,18.84
2022,DNK,desi_1a3,37.37
2022,EST,desi_1a3,27.68
2022,NA,desi_1a3,21.7
2022,ESP,desi_1a3,38.06
2022,FIN,desi_1a3,48.13
2022,FRA,desi_1a3,31.25
2022,HRV,desi_1a3,31.18
2022,HUN,desi_1a3,21.54
2022,IRL,desi_1a3,39.69
2022,ITA,desi_1a3,22.52
2022,LTU,desi_1a3,23.01
2022,LUX,desi_1a3,31.81
2022,LVA,desi_1a3,23.79
2022,MLT,desi_1a3,35.49
2022,NLD,desi_1a3,51.77
2022,POL,desi_1a3,20.64
2022,PRT,desi_1a3,28.54
2022,ROU,desi_1a3,8.73
2022,SWE,desi_1a3,35.68
2022,SVN,desi_1a3,19.72
2022,SVK,desi_1a3,20.83
2022,NA,desi_1a3,26.46
2023,AUT,desi_1a3,33.28
2023,BEL,desi_1a3,26.34
2023,BGR,desi_1a3,7.82
2023,CYP,desi_1a3,20.95
2023,CZE,desi_1a3,24.06
2023,DEU,desi_1a3,18.84
2023,DNK,desi_1a3,37.37
2023,EST,desi_1a3,27.68
2023,ESP,desi_1a3,38.06
2023,FIN,desi_1a3,48.13
2023,FRA,desi_1a3,31.25
2023,HRV,desi_1a3,31.18
2023,HUN,desi_1a3,21.54
2023,IRL,desi_1a3,39.69
2023,ITA,desi_1a3,22.52
2023,LTU,desi_1a3,23.01
2023,LUX,desi_1a3,31.81
2023,LVA,desi_1a3,23.79
2023,MLT,desi_1a3,35.49
2023,NLD,desi_1a3,51.77
2023,POL,desi_1a3,20.64
2023,PRT,desi_1a3,28.54
2023,ROU,desi_1a3,8.73
2023,SWE,desi_1a3,35.68
2023,SVN,desi_1a3,19.72
2023,SVK,desi_1a3,20.83
2023,NA,desi_1a3,26.46
2022,AUT,desi_1a6,61.03
2022,BEL,desi_1a6,51.62
2022,BGR,desi_1a6,31.24
2022,CYP,desi_1a6,51.99
2022,CZE,desi_1a6,59.69
2022,DEU,desi_1a6,45.73
2022,DNK,desi_1a6,65.77
2022,EST,desi_1a6,55.27
2022,NA,desi_1a6,51.39
2022,ESP,desi_1a6,62.66
2022,FIN,desi_1a6,80.16
2022,FRA,desi_1a6,62.66
2022,HRV,desi_1a6,60.07
2022,HUN,desi_1a6,46.34
2022,IRL,desi_1a6,71.87
2022,ITA,desi_1a6,43.09
2022,LTU,desi_1a6,49.29
2022,LUX,desi_1a6,58.26
2022,LVA,desi_1a6,52.64
2022,MLT,desi_1a6,60.86
2022,NLD,desi_1a6,76.94
2022,POL,desi_1a6,40.93
2022,PRT,desi_1a6,55.38
2022,ROU,desi_1a6,25.71
2022,SWE,desi_1a6,64.74
2022,SVN,desi_1a6,48.62
2022,SVK,desi_1a6,52.35
2022,AUT,desi_1a2,63.33
2022,BEL,desi_1a2,54.23
2022,BGR,desi_1a2,31.18
2022,CYP,desi_1a2,50.21
2022,CZE,desi_1a2,59.69
2022,DEU,desi_1a2,48.92
2022,DNK,desi_1a2,68.65
2022,EST,desi_1a2,56.37
2022,NA,desi_1a2,52.48
2022,ESP,desi_1a2,64.16
2022,FIN,desi_1a2,79.18
2022,FRA,desi_1a2,61.96
2022,HRV,desi_1a2,63.37
2022,HUN,desi_1a2,49.09
2022,IRL,desi_1a2,70.49
2022,ITA,desi_1a2,45.6
2022,LTU,desi_1a2,48.84
2022,LUX,desi_1a2,63.79
2022,LVA,desi_1a2,50.8
2022,MLT,desi_1a2,61.23
2022,NLD,desi_1a2,78.94
2022,POL,desi_1a2,42.93
2022,PRT,desi_1a2,55.31
2022,ROU,desi_1a2,27.82
2022,SWE,desi_1a2,66.52
2022,SVN,desi_1a2,49.67
2022,SVK,desi_1a2,55.18
2022,NA,desi_1a2,53.92
2023,AUT,desi_1a2,63.33
2023,BEL,desi_1a2,54.23
2023,BGR,desi_1a2,31.18
2023,CYP,desi_1a2,50.21
2023,CZE,desi_1a2,59.69
2023,DEU,desi_1a2,48.92
2023,DNK,desi_1a2,68.65
2023,EST,desi_1a2,56.37
2023,NA,desi_1a2,52.48
2023,ESP,desi_1a2,64.16
2023,FIN,desi_1a2,79.18
2023,FRA,desi_1a2,61.96
2023,HRV,desi_1a2,63.37
2023,HUN,desi_1a2,49.09
2023,IRL,desi_1a2,70.49
2023,ITA,desi_1a2,45.6
2023,LTU,desi_1a2,48.84
2023,LUX,desi_1a2,63.79
2023,LVA,desi_1a2,50.8
2023,MLT,desi_1a2,61.23
2023,NLD,desi_1a2,78.94
2023,POL,desi_1a2,42.93
2023,PRT,desi_1a2,55.31
2023,ROU,desi_1a2,27.82
2023,SWE,desi_1a2,66.52
2023,SVN,desi_1a2,49.67
2023,SVK,desi_1a2,55.18
2023,NA,desi_1a2,53.92
2023,AUT,desi_1a6,61.03
2023,BEL,desi_1a6,51.62
2023,BGR,desi_1a6,31.24
2023,CYP,desi_1a6,51.99
2023,CZE,desi_1a6,59.69
2023,DEU,desi_1a6,45.73
2023,DNK,desi_1a6,65.77
2023,EST,desi_1a6,55.27
2023,NA,desi_1a6,51.39
2023,ESP,desi_1a6,62.66
2023,FIN,desi_1a6,80.16
2023,FRA,desi_1a6,62.66
2023,HRV,desi_1a6,60.07
2023,HUN,desi_1a6,46.34
2023,IRL,desi_1a6,71.87
2023,ITA,desi_1a6,43.09
2023,LTU,desi_1a6,49.29
2023,LUX,desi_1a6,58.26
2023,LVA,desi_1a6,52.64
2023,MLT,desi_1a6,60.86
2023,NLD,desi_1a6,76.94
2023,POL,desi_1a6,40.93
2023,PRT,desi_1a6,55.38
2023,ROU,desi_1a6,25.71
2023,SWE,desi_1a6,64.74
2023,SVN,desi_1a6,48.62
2023,SVK,desi_1a6,52.35
