"region","Name","Continental.region","Price.per.GB...change..5.years.","Dyear","values"
"ISR","Israel","NEAR EAST","-97.57%","D2019","0.90"
"ISR","Israel","NEAR EAST","-97.57%","D2020","0.11"
"ISR","Israel","NEAR EAST","-97.57%","D2021","0.05"
"ISR","Israel","NEAR EAST","-97.57%","D2022","0.04"
"ISR","Israel","NEAR EAST","-97.57%","D2023","0.02"
"ITA","Italy","WESTERN EUROPE","-95.04%","D2019","1.73"
"ITA","Italy","WESTERN EUROPE","-95.04%","D2020","0.43"
"ITA","Italy","WESTERN EUROPE","-95.04%","D2021","0.27"
"ITA","Italy","WESTERN EUROPE","-95.04%","D2022","0.12"
"ITA","Italy","WESTERN EUROPE","-95.04%","D2023","0.09"
"FJI","Fiji","OCEANIA","-97.54%","D2019","3.57"
"FJI","Fiji","OCEANIA","-97.54%","D2020","0.59"
"FJI","Fiji","OCEANIA","-97.54%","D2021","0.19"
"FJI","Fiji","OCEANIA","-97.54%","D2022","0.15"
"FJI","Fiji","OCEANIA","-97.54%","D2023","0.09"
"SMR","San Marino","WESTERN EUROPE","-98.60%","D2019","6.86"
"SMR","San Marino","WESTERN EUROPE","-98.60%","D2020","1.16"
"SMR","San Marino","WESTERN EUROPE","-98.60%","D2021","0.43"
"SMR","San Marino","WESTERN EUROPE","-98.60%","D2022","0.14"
"SMR","San Marino","WESTERN EUROPE","-98.60%","D2023","0.10"
"KHM","Cambodia","ASIA (EX. NEAR EAST)","-98.82%","D2019","10.18"
"KHM","Cambodia","ASIA (EX. NEAR EAST)","-98.82%","D2020","1.50"
"KHM","Cambodia","ASIA (EX. NEAR EAST)","-98.82%","D2021","0.83"
"KHM","Cambodia","ASIA (EX. NEAR EAST)","-98.82%","D2022","0.42"
"KHM","Cambodia","ASIA (EX. NEAR EAST)","-98.82%","D2023","0.12"
"PAK","Pakistan","ASIA (EX. NEAR EAST)","-93.31%","D2019","1.85"
"PAK","Pakistan","ASIA (EX. NEAR EAST)","-93.31%","D2020","0.69"
"PAK","Pakistan","ASIA (EX. NEAR EAST)","-93.31%","D2021","0.59"
"PAK","Pakistan","ASIA (EX. NEAR EAST)","-93.31%","D2022","0.36"
"PAK","Pakistan","ASIA (EX. NEAR EAST)","-93.31%","D2023","0.12"
"IND","India","ASIA (EX. NEAR EAST)","-38.18%","D2019","0.26"
"IND","India","ASIA (EX. NEAR EAST)","-38.18%","D2020","0.09"
"IND","India","ASIA (EX. NEAR EAST)","-38.18%","D2021","0.68"
"IND","India","ASIA (EX. NEAR EAST)","-38.18%","D2022","0.17"
"IND","India","ASIA (EX. NEAR EAST)","-38.18%","D2023","0.16"
"KGZ","Kyrgyzstan","CIS (FORMER USSR)","-35.17%","D2019","0.27"
"KGZ","Kyrgyzstan","CIS (FORMER USSR)","-35.17%","D2020","0.21"
"KGZ","Kyrgyzstan","CIS (FORMER USSR)","-35.17%","D2021","0.15"
"KGZ","Kyrgyzstan","CIS (FORMER USSR)","-35.17%","D2022","0.17"
"KGZ","Kyrgyzstan","CIS (FORMER USSR)","-35.17%","D2023","0.17"
"FRA","France","WESTERN EUROPE","-83.71%","D2019","1.21"
"FRA","France","WESTERN EUROPE","-83.71%","D2020","0.81"
"FRA","France","WESTERN EUROPE","-83.71%","D2021","0.41"
"FRA","France","WESTERN EUROPE","-83.71%","D2022","0.23"
"FRA","France","WESTERN EUROPE","-83.71%","D2023","0.20"
"COL","Colombia","SOUTH AMERICA","-93.84%","D2019","3.22"
"COL","Colombia","SOUTH AMERICA","-93.84%","D2020","3.46"
"COL","Colombia","SOUTH AMERICA","-93.84%","D2021","2.80"
"COL","Colombia","SOUTH AMERICA","-93.84%","D2022","0.49"
"COL","Colombia","SOUTH AMERICA","-93.84%","D2023","0.20"
"HTI","Haiti","CARIBBEAN","-82.46%","D2019","1.25"
"HTI","Haiti","CARIBBEAN","-82.46%","D2020","2.74"
"HTI","Haiti","CARIBBEAN","-82.46%","D2021","0.85"
"HTI","Haiti","CARIBBEAN","-82.46%","D2022","0.37"
